company,individual,role,start_date,end_date,is_current,is_leadership,littlesis_person_id,littlesis_company_id,company_matched_name
Scott Gas,Seymour S Preston III,Board of Directors,,,True,True,10710,282517,Scott Specialty Gas Corporation
Suburban Propane,Daniel S Bloomstein,Controller,2014-04-00,,True,False,192161,112385,"Suburban Propane Partners, L.P."
Suburban Propane,Sandra N Zwickel,Vice President,2013-11-00,,True,True,192162,112385,"Suburban Propane Partners, L.P."
Amoco,David Nagel,EVP,2009-00-00,2013-00-00,False,True,106280,34803,BP America Inc
Amoco,Albert Keller,Vice President,,,True,True,353965,34803,BP America Inc
Amoco,C Heidi Grether,"General Manager, Gulf Coast External Affairs",2012-03-01,2014-03-01,False,True,232988,34803,BP America Inc
Amoco,W Michael Griffin,"Research Scientist, Biotechnology",1980-00-00,1990-00-00,False,False,176937,34803,BP America Inc
BP Amoco,David Nagel,EVP,2009-00-00,2013-00-00,False,True,106280,34803,BP America Inc
BP Amoco,Albert Keller,Vice President,,,True,True,353965,34803,BP America Inc
BP Amoco,C Heidi Grether,"General Manager, Mississippi External Affairs",2010-08-01,2012-03-01,False,True,232988,34803,BP America Inc
BP Amoco,C Heidi Grether,"General Manager, Gulf Coast External Affairs",2012-03-01,2014-03-01,False,True,232988,34803,BP America Inc
BP Amoco,W Michael Griffin,"Research Scientist, Biotechnology",1980-00-00,1990-00-00,False,False,176937,34803,BP America Inc
Frontier Oil Corporation,James S Palmer,Director,,,False,True,6972,464,Frontier Oil Corporation
Frontier Oil Corporation,Franklin Myers,,2009-11-00,,True,False,7249,464,Frontier Oil Corporation
Marathon Petroleum,JAMES R. WILKINS,,,,True,False,384612,87433,Marathon Petroleum Corporation
Marathon Petroleum,KARMA M. THOMSON,,,,True,False,384131,87433,Marathon Petroleum Corporation
Marathon Petroleum,RICK D. HESSLING,,,,True,False,382887,87433,Marathon Petroleum Corporation
Marathon Petroleum,C. TRACY CASE,,,,True,False,385867,87433,Marathon Petroleum Corporation
Shell,Kimberly Mcneely,Senior Investor Relations Officer,,2015-00-00,,True,302995,283733,Shell Trading International Limited
Sunoco Inc,V. Steve Herzog,Director of Strategic Planning and Execution,2010-00-00,2012-00-00,False,True,223102,57,"Sunoco, Inc."
Sunoco Inc,John W McReynolds,President,,2015-00-00,,True,5735,57,"Sunoco, Inc."
Sunoco Inc,James Stirling Welch,Global Chief Financial Officer & Head ,,2015-00-00,,True,331368,57,"Sunoco, Inc."
Sunoco Inc,Richard A Cargile,President - Midstream,,2015-00-00,,True,123583,57,"Sunoco, Inc."
Clean Energy,Rebekah Byers Kcehowski,Host,,,True,False,428141,425881,Global Clean Energy Action Forum
Clean Energy,Aaron Bielenberg,Founder and CEO,2010-00-00,2013-00-00,False,True,147716,147697,Clean Energy Business Council
Clean Energy,Daniel Zywietz,,,,True,False,147719,147697,Clean Energy Business Council
Clean Energy,Soudki Atassi,,,,True,False,147717,147697,Clean Energy Business Council
GE Power Systems,Robert L Nardelli,CEO,,,False,True,1400,98344,GE power systems
Antero Midstream Partners,Paul Korus,Board Member ,2019-00-00,,True,True,123832,253467,Antero Midstream Partners
Enbridge Inc,Duane S Herbst,Chairman,,,True,True,89800,76205,"Enbridge Energy Company, Inc"
Enbridge Inc,Maureen Kempston Darkes,Director,,,True,True,86818,76205,"Enbridge Energy Company, Inc"
Kinder Morgan Energy Partners,Gene Braithwaite,Vice President,,,True,True,202562,90627,"Kinder Morgan Energy Partners, L.P."
Kinder Morgan Energy Partners,Steven J Kean,President,,,True,True,66476,90627,"Kinder Morgan Energy Partners, L.P."
Kinder Morgan Energy Partners,Steven J Kean,COO,,,True,False,66476,90627,"Kinder Morgan Energy Partners, L.P."
Sempra LNG,Dale Kelly-Cochrane,VP - terminal services agreement management,,,True,True,118516,118525,Sempra LNG
Texaco Natural Gas,Gary A Marchiori,Manager of northeast regional office,,,False,True,51531,51532,Texaco Natural Gas
Transwestern Pipeline,William Kelly Warren,Founder,1959-00-00,1959-00-00,,True,104172,104175,"Transwestern Pipeline Company, LLC"
Agl Resources,Robert S Jepson Jr,Director,1999-00-00,,True,True,3211,779,AGL Resources
Agl Resources,D Raymond Riddle,Director,1978-00-00,,False,True,10356,779,AGL Resources
Agl Resources,Felker W Ward Jr,Director,1988-00-00,,False,True,10350,779,AGL Resources
Clean Energy Fuels Corp,Andrew J Littlefair,Co-founder,1997-00-00,1997-00-00,True,True,83350,43886,Clean Energy Fuels Corporation
Clean Energy Fuels Corp,T Boone Pickens,Founder,1997-00-00,1997-00-00,True,True,15095,43886,Clean Energy Fuels Corporation
Clean Energy Fuels Corp,Stephen Scully,,2014-01-00,,True,False,191354,43886,Clean Energy Fuels Corporation
Southern Union Company,George L Lindemann,Chairman,,,True,True,10087,753,"Panhandle Eastern Pipe Line Company, LP"
Southern Union Company,George L Lindemann,Director,,,True,True,10087,753,"Panhandle Eastern Pipe Line Company, LP"
American Energy,Jeffrey W. Martin,,,,True,False,282455,40360,American Petroleum Institute
American Energy,Bernie Robert,Vice President - Corp Affairs & Bus Strategy,,2015-00-00,,True,307891,221011,North American Construction Group Ltd.
American Energy,Kristina Williams,,,,True,False,381972,221011,North American Construction Group Ltd.
American Energy,Bryan Pinney,Independent Director,,,True,True,306434,221011,North American Construction Group Ltd.
American Energy,Thomas J Pyle,President,2008-00-00,,True,True,41701,41703,American Energy Alliance
Arena Energy,Jo Evans,Ex-officio Board Member,,,True,True,387366,387107,Australian Renewable Energy Agency (ARENA)
Arena Energy,Justin Butcher,Board Member,,,True,True,387363,387107,Australian Renewable Energy Agency (ARENA)
Aspect Energy,Toby Neugebauer,Director,,,True,True,204050,74469,Aspect Energy
Aspect Energy,Alex Cranberg,Chairman,1993-00-00,,True,True,74112,74469,Aspect Energy
British Petroleum,David Nagel,"EVP, BP America",,,False,True,106280,45975,BP plc
British Petroleum,Robert Dudley,Executive Director ,2009-00-00,2020-00-00,,True,58090,45975,BP plc
British Petroleum,Lynn Paul Waterman,"Head, Global Lubricants Business",,2015-00-00,,True,319695,45975,BP plc
British Petroleum,Robert John Sawers,DirectorExecutive Director (on BoD),2015-00-00,,,True,308874,45975,BP plc
British Petroleum,David Knox,"Managing Director, Australasia Developments",,,False,True,373741,45975,BP plc
Chesapeake Energy,Jeffrey A Fisher,EVP-Production,2012-12-00,2013-11-00,False,True,120510,325,Chesapeake Energy
Chesapeake Energy,Luke R Corbett,Board member,2017-00-00,,True,True,3188,325,Chesapeake Energy
Chesapeake Energy,Douglas J Jacobson,Executive Vice President,,2015-00-00,False,True,5305,325,Chesapeake Energy
Chesapeake Energy,James R Webb,Executive Vice President - General Counsel and Corporate Secretary,,2015-00-00,False,True,120511,325,Chesapeake Energy
Chief Oil & Gas,Trevor Rees-Jones,CEO,,,True,True,15219,59234,Chief Oil & Gas LLC
Columbia Energy,Maria S. Jelescu Dreyfus,Advisory Board Member,,,True,True,436010,162243,Columbia University Center on Global Energy Policy
Columbia Energy,Leah Stokes,visiting faculty,,,True,False,404447,162243,Columbia University Center on Global Energy Policy
Columbia Energy,Manuel Pinho,Faculty,,,True,False,162273,162243,Columbia University Center on Global Energy Policy
Columbia Energy,Klaus Lackner,Faculty,,,True,False,104339,162243,Columbia University Center on Global Energy Policy
Crescent Point Energy,Trent Stangl,Vice President,,,False,True,310580,118845,Crescent Point Energy Corp
Crescent Point Energy,Clifford Neil Smith,Chief Operating Officer,,,False,True,322902,118845,Crescent Point Energy Corp
Dutch Oil,Kimberly Mcneely,Senior Investor Relations Officer,,2015-00-00,,True,302995,84758,Royal Dutch Shell
Dutch Oil,David Knox,,,,False,False,373741,84758,Royal Dutch Shell
Elysium Energy,Jim Trimble,CEO,2000-00-00,2004-00-00,False,True,104564,126822,Elysium Energy
Enbridge,Vernon D Yu,"Senior Vice President, Corporate Planning",,,True,True,314325,89799,"Enbridge, Inc."
Enbridge,Maureen Kempston Darkes,,,,True,False,86818,89799,"Enbridge, Inc."
Enbridge,John K Whelen,Sr Vice President & Controller,,2015-00-00,,True,190064,283111,Enbridge Gas Distribution Inc
Enbridge,Duane S Herbst,Chairman,,,True,True,89800,76205,"Enbridge Energy Company, Inc"
Enbridge,Maureen Kempston Darkes,Director,,,True,True,86818,76205,"Enbridge Energy Company, Inc"
Energy Council,Aaron Bielenberg,,,,False,False,147716,147697,Clean Energy Business Council
Energy Council,Aaron Bielenberg,Founder and CEO,2010-00-00,2013-00-00,False,True,147716,147697,Clean Energy Business Council
Energy Council,Daniel Zywietz,,,,True,False,147719,147697,Clean Energy Business Council
Energy Council,Soudki Atassi,,,,True,False,147717,147697,Clean Energy Business Council
Energy Management Inc,Joe M Allbaugh,Director,2003-12-02,2010-08-20,,True,20675,116439,"Green Energy Management Services Holdings, Inc."
Energy Management Inc,Steven B Solomon,CEO,1996-12-00,,,True,116437,116439,"Green Energy Management Services Holdings, Inc."
Energy Management Inc,Michael Fleckenstein,President,2002-00-00,,True,True,400384,400383,"HMS Companies, INC"
First Co,J David Heaney,Director,2005-00-00,,,True,63562,592,Zions Bancorporation
First Co,Michael Morris,Executive Vice President,2013-08-00,,True,True,190476,592,Zions Bancorporation
First Co,Joseph L Reilly,Executive Vice President,2011-07-00,,True,True,121278,592,Zions Bancorporation
General Oil Inc,Richard Keith Palmer,Finance Manager,1997-00-00,2003-00-00,,True,120171,28610,GE Oil & Gas
General Oil Inc,Lorenzo Simonelli,CEO,,,True,True,43962,28610,GE Oil & Gas
General Oil Inc,Albert O Cornelison Jr,Staff VP & Associate General Counsel,1994-02-00,1998-09-00,False,True,3288,28610,GE Oil & Gas
General Oil Inc,Pierre F Lapeyre Jr,,,,False,False,38388,28610,GE Oil & Gas
Gpu Energy,Michael J Chesser,President and CEO,,,False,True,8805,164045,GPU Energy
Gulf Oil,Kermit Roosevelt Jr,vice president,1958-00-00,1964-00-00,False,True,220692,38636,Gulf Oil Corporation
Gulf Oil,Joseph Petrowski,CEO,2005-00-00,,,True,212166,83822,Gulf Oil LP
Gulf Oil,John A. Kaneb,CEO,,,False,True,50786,83822,Gulf Oil LP
