Company Name,Category,"(Utilities Only) 
Percentage generation fossil fuels","(Utilities Only) 
Investment in new fossil fuel infrastructure","(Utilities Only) 
Percentage revenue derived from fossil fuels"
Blackhawk Coal Sales LLC,Coal Mining,,,
Blackrock Coal,Coal Mining,,,
Blaschak Coal,Coal Mining,,,
Blaschak Coal Co,Coal Mining,,,
Blaschak Coal Corp,Coal Mining,,,
Blaschar Coal,Coal Mining,,,
Bledsoe Coal,Coal Mining,,,
Blue Grass Coal,Coal Mining,,,
Blue Ridge Coal,Coal Mining,,,
Blue Star Coal,Coal Mining,,,
Bluegrass Coal,Coal Mining,,,
Bluegrass Coal Co,Coal Mining,,,
Bluegrass Coal Development,Coal Mining,,,
Bluestone Coal,Coal Mining,,,
Bluestone Industries,Coal Mining,,,
Bni Coal,Coal Mining,,,
Bni Coal Ltd,Coal Mining,,,
Bnyx Coal Sales,Coal Mining,,,
Boich Co,Coal Mining,,,
Boich Companies,Coal Mining,,,
Bologna Coal,Coal Mining,,,
Bologna Coal Co,Coal Mining,,,
Booth Energy,Coal Mining,,,
Booth Energy Group,Coal Mining,,,
Bowie Refined Coal,Coal Mining,,,
Bowie Resource Partners,Coal Mining,,,
Bradford Coal,Coal Mining,,,
Bradford Coal Co,Coal Mining,,,
Bradford Energy,Coal Mining,,,
Bridgeview Coal,Coal Mining,,,
Bridgeview Coal Co,Coal Mining,,,
Bristol & Capital Coal,Coal Mining,,,
Bronco Coal Co,Coal Mining,,,
Bronco Energy,Coal Mining,,,
Brunswick Coal & Lumber,Coal Mining,,,
Buchanan Coal,Coal Mining,,,
Buchanan County Coal,Coal Mining,,,
Buckhorn Coal Co,Coal Mining,,,
Buckingham Coal,Coal Mining,,,
Buckingham Coal Co,Coal Mining,,,
Buffalo Coal,Coal Mining,,,
Buffalo Coal Co,Coal Mining,,,
Bull Creek Coal,Coal Mining,,,
Bull Mountain Coal,Coal Mining,,,
Bull Mountain Coal Mining,Coal Mining,,,
Burns Coal Co,Coal Mining,,,
C Reiss Coal Co,Coal Mining,,,
C&A Coal Co,Coal Mining,,,
C&D Coal Co,Coal Mining,,,
CA&S Coal,Coal Mining,,,
Calico Coal Inc,Coal Mining,,,
California Wilderness Coalitio,Coal Mining,,,
Calvary Coal,Coal Mining,,,
Calvary Coal Co,Coal Mining,,,
Calvery Coal Co,Coal Mining,,,
Camelot Coal,Coal Mining,,,
Camelot Coal Co,Coal Mining,,,
Canbow River Coal,Coal Mining,,,
Capital Area Immigrants' Rights Coalition,Coal Mining,,,
Capital Coal Corp,Coal Mining,,,
Capricorn Coal Shop,Coal Mining,,,
Carbon Resources of Florida,Coal Mining,,,
Carbon River Coal,Coal Mining,,,
Carbonado Coal,Coal Mining,,,
Carl Clear Coal,Coal Mining,,,
Carrier Coal Enterprises,Coal Mining,,,
Carroll Coal,Coal Mining,,,
Casp Coal,Coal Mining,,,
Catenary Coal,Coal Mining,,,
Cedor Coal,Coal Mining,,,
Cedor Coal Co,Coal Mining,,,
Center For Coal Technology,Coal Mining,,,
Center For Energy & Economic Development,Coal Mining,,,
Central Coal Co,Coal Mining,,,
Central Elec Coop PAC,Coal Mining,,,
Centralia Coal Sales,Coal Mining,,,
Centralia Coal Sales Co,Coal Mining,,,
Century Coal Co,Coal Mining,,,
Century Coal Mines,Coal Mining,,,
Charlais Coal,Coal Mining,,,
Cheyenne Elkhorn Coal,Coal Mining,,,
Cheyenne Elkhorn Coal Co,Coal Mining,,,
Chicopee Coal,Coal Mining,,,
Citation Coal,Coal Mining,,,
Citizens Coal Council,Coal Mining,,,
Citizens To Promote WV Coal,Coal Mining,,,
City Coal Yard,Coal Mining,,,
Ck Coal,Coal Mining,,,
Ck Coal Corp,Coal Mining,,,
Clarksfield Coal,Coal Mining,,,
Classic Coal Sales,Coal Mining,,,
Classic Coal Services,Coal Mining,,,
Clean Coal Group,Coal Mining,,,
Clean Coal Technologies,Coal Mining,,,
Cline Group,Coal Mining,,,
Cline Resource & Development,Coal Mining,,,
Cline Resources,Coal Mining,,,
Clise Coal Co,Coal Mining,,,
Cloud Peak Energy Resources,Coal Mining,,,
Clover International Coal Co,Coal Mining,,,
Cmte On Affirmative Leadership,Coal Mining,,,
Cnx Coal Resourses,Coal Mining,,,
Cnxc Coal Resources,Coal Mining,,,
Coal,Coal Mining,,,
Coal & Slurrm Technology Assoc,Coal Mining,,,
Coal 2 Liquid Inc,Coal Mining,,,
Coal Ace,Coal Mining,,,
Coal Act Fairness Alliance,Coal Mining,,,
Coal Against Unsolicited Cmrcl Email,Coal Mining,,,
Coal Age,Coal Mining,,,
Coal Age Inc,Coal Mining,,,
Coal Ake,Coal Mining,,,
Coal Arbed International,Coal Mining,,,
Coal Ase,Coal Mining,,,
Coal Bed Methane Associationof Alae,Coal Mining,,,
Coal Bed Services Inc,Coal Mining,,,
Coal Black Cattle Co,Coal Mining,,,
Coal Bradford Energy,Coal Mining,,,
Coal Capital Group,Coal Mining,,,
Coal Centrifuge Service,Coal Mining,,,
