Company Name,Category,"(Utilities Only) 
Percentage generation fossil fuels","(Utilities Only) 
Investment in new fossil fuel infrastructure","(Utilities Only) 
Percentage revenue derived from fossil fuels"
Champion Energy Corp,Fuel Oil Dealers,,,
Champlain Oil Co Inc,Fuel Oil Dealers,,,
Chief Energy Core,Fuel Oil Dealers,,,
Clarence Brown Inc,Fuel Oil Dealers,,,
Clayton Oil Company,Fuel Oil Dealers,,,
Clear Spring,Fuel Oil Dealers,,,
Cleveland Fuel Oil,Fuel Oil Dealers,,,
Cn Brown Comany,Fuel Oil Dealers,,,
Coldgate Fuel Oil Corp,Fuel Oil Dealers,,,
Comm Energy Co,Fuel Oil Dealers,,,
Conroys Oil Service,Fuel Oil Dealers,,,
Consolidated Oil,Fuel Oil Dealers,,,
Convenience Plus Partners Ltd,Fuel Oil Dealers,,,
Corbin Fuel Company Inc,Fuel Oil Dealers,,,
Crain Oil Company,Fuel Oil Dealers,,,
Crystal Flash Energy,Fuel Oil Dealers,,,
Cumberland Lake Shell,Fuel Oil Dealers,,,
Cumberland Oil Co,Fuel Oil Dealers,,,
Cunningham,Fuel Oil Dealers,,,
Danielson Oil Co,Fuel Oil Dealers,,,
Danny Boy Oil Co,Fuel Oil Dealers,,,
Davis Co Inc,Fuel Oil Dealers,,,
Deblois Oil,Fuel Oil Dealers,,,
Deblois PAC,Fuel Oil Dealers,,,
Delloro Oil,Fuel Oil Dealers,,,
Delphia Oil Inc,Fuel Oil Dealers,,,
Delta Western,Fuel Oil Dealers,,,
Densmore Oil Co,Fuel Oil Dealers,,,
Dependable Fuel,Fuel Oil Dealers,,,
Dersch Energies Inc,Fuel Oil Dealers,,,
Deull Fuel,Fuel Oil Dealers,,,
Deull Fuel Co,Fuel Oil Dealers,,,
Dick Guerette Winthrop Fuel Oil Inc,Fuel Oil Dealers,,,
Don Small & Sons Oil Distributors,Fuel Oil Dealers,,,
Downeast Energy,Fuel Oil Dealers,,,
Duncan Land & Energy,Fuel Oil Dealers,,,
Duo Colony Fuel Oil,Fuel Oil Dealers,,,
Economy Fuel Oil,Fuel Oil Dealers,,,
Economy Fuel Oil Inc,Fuel Oil Dealers,,,
Energy Fuels Coal Inc,Fuel Oil Dealers,,,
Energy PAC (Me Oil Dealers Assoc),Fuel Oil Dealers,,,
Estes Oil Burnr Service Inc,Fuel Oil Dealers,,,
Ewing Oil,Fuel Oil Dealers,,,
Falcon LLC,Fuel Oil Dealers,,,
Firewood Inc,Fuel Oil Dealers,,,
Fischer Oil Co,Fuel Oil Dealers,,,
Fopco Fuel Oil Polishing Co,Fuel Oil Dealers,,,
Foxboro Co,Fuel Oil Dealers,,,
Fred M Schildwachter & Sons Inc,Fuel Oil Dealers,,,
Fuel Oil Polishing Co Inc (FOPCO),Fuel Oil Dealers,,,
G J Creel & Sons,Fuel Oil Dealers,,,
Gate Fuel Service Inc,Fuel Oil Dealers,,,
Gem Fuel Co of Oregon Inc,Fuel Oil Dealers,,,
George C Stafford & Sons,Fuel Oil Dealers,,,
Giroux Oil Service Co,Fuel Oil Dealers,,,
Glenwood Esso & Oil Co,Fuel Oil Dealers,,,
Glider Oil Co Inc,Fuel Oil Dealers,,,
Global Partners,Fuel Oil Dealers,,,
Globe Fuel Oil,Fuel Oil Dealers,,,
Globe Fuel Oil Co,Fuel Oil Dealers,,,
Globe Fuel Oil Co Inc,Fuel Oil Dealers,,,
Globe Fuel Oil Management,Fuel Oil Dealers,,,
Gray Fuel Co,Fuel Oil Dealers,,,
Grimm's Fuel Co,Fuel Oil Dealers,,,
Grimms Fuel Co,Fuel Oil Dealers,,,
Grimsley Oil Company Inc,Fuel Oil Dealers,,,
Guys Oil Service Station Inc,Fuel Oil Dealers,,,
Gw Hunter Inc,Fuel Oil Dealers,,,
H&I Fuel Inc,Fuel Oil Dealers,,,
H&T Fuel Oil Corp/State of New Jersey,Fuel Oil Dealers,,,
Hampel Oil Distributors,Fuel Oil Dealers,,,
Harbor Fuel Co Inc,Fuel Oil Dealers,,,
Harriett's Oil Service,Fuel Oil Dealers,,,
Harrison Oil Co,Fuel Oil Dealers,,,
Hawkins Oil Co of Lagrange Inc,Fuel Oil Dealers,,,
Heat Usa,Fuel Oil Dealers,,,
Heating Oil Dealer,Fuel Oil Dealers,,,
Heating Oil Partners,Fuel Oil Dealers,,,
Heights Fuel Oil,Fuel Oil Dealers,,,
High Pointe Oil,Fuel Oil Dealers,,,
Hightowers Petroleum,Fuel Oil Dealers,,,
Hirsch Fuel Inc,Fuel Oil Dealers,,,
Hoffman Fuel Service,Fuel Oil Dealers,,,
Housewarmers Oil Co,Fuel Oil Dealers,,,
Hunter Enterprises,Fuel Oil Dealers,,,
Hygrade Fuel Oil,Fuel Oil Dealers,,,
Inland Fuel Terminal,Fuel Oil Dealers,,,
Inland Oil Company,Fuel Oil Dealers,,,
Inlet Petroleum Co,Fuel Oil Dealers,,,
J A Fischer Oil Distributor,Fuel Oil Dealers,,,
J P Carroll Fuel Co,Fuel Oil Dealers,,,
J W Stone Oil Distributor LLC,Fuel Oil Dealers,,,
Jackson Oil Wholesale,Fuel Oil Dealers,,,
Jenkins Fuel Oil,Fuel Oil Dealers,,,
Jh Parker Co,Fuel Oil Dealers,,,
Jh Parker Company Inc,Fuel Oil Dealers,,,
Jim Dible Oil Co,Fuel Oil Dealers,,,
Jimmy Davis Enterprises Inc,Fuel Oil Dealers,,,
John Dompier Oil Co Inc,Fuel Oil Dealers,,,
John Stone Oil Distributors,Fuel Oil Dealers,,,
Johnson & Dix Fuel,Fuel Oil Dealers,,,
Johnson Oil Company,Fuel Oil Dealers,,,
JP Carroll Fuel Co,Fuel Oil Dealers,,,
Kardon Fuel Co,Fuel Oil Dealers,,,
Kath Fuel Oil Service Co,Fuel Oil Dealers,,,
Ken Johnson Bostons Inc,Fuel Oil Dealers,,,
Kenan Advantage Group,Fuel Oil Dealers,,,
Kerbs Oil Co,Fuel Oil Dealers,,,
Kirby Oil Co,Fuel Oil Dealers,,,
Kralloil Co Inc,Fuel Oil Dealers,,,
KW Baxley Inc,Fuel Oil Dealers,,,
La Forgia Fuel Oil Co,Fuel Oil Dealers,,,
Laforgia Fuel Oil,Fuel Oil Dealers,,,
Lamprey Bros Inc,Fuel Oil Dealers,,,
Lamprey Brothers,Fuel Oil Dealers,,,
Leahys Fuel Inc,Fuel Oil Dealers,,,
Liberty Oil Service,Fuel Oil Dealers,,,
Liberty Truck Center,Fuel Oil Dealers,,,
Lone Star Oil Co,Fuel Oil Dealers,,,
Lonestar,Fuel Oil Dealers,,,
Lube Center Distributing Inc,Fuel Oil Dealers,,,
Ma Oil Heat PAC,Fuel Oil Dealers,,,
Macintyre Fuel Inc,Fuel Oil Dealers,,,
Macintyre Fuels Inc,Fuel Oil Dealers,,,
Mantag Oil,Fuel Oil Dealers,,,
Marc Nelson Oil Products Inc,Fuel Oil Dealers,,,
Marine Oil Services Inc,Fuel Oil Dealers,,,
Mark Heard Fuel,Fuel Oil Dealers,,,
Massachusetts Oilheat Council,Fuel Oil Dealers,,,
Mathews & Mathews Inc,Fuel Oil Dealers,,,
Max Oil Co Inc,Fuel Oil Dealers,,,
McCarthy Heating Oil Service Inc,Fuel Oil Dealers,,,
McNeill Oil Co,Fuel Oil Dealers,,,
Medford Heating Oil,Fuel Oil Dealers,,,
Meenan Oil Co,Fuel Oil Dealers,,,
Mekusick Fuel,Fuel Oil Dealers,,,
Menefee Oil Co Inc,Fuel Oil Dealers,,,
Metro Fuel Oil Co,Fuel Oil Dealers,,,
Metro Fuel Oil Corp,Fuel Oil Dealers,,,
Mid South Sales Inc,Fuel Oil Dealers,,,
Midstream Fuel Service,Fuel Oil Dealers,,,
Midstream Fuel Service Inc,Fuel Oil Dealers,,,
Miners Oil Co,Fuel Oil Dealers,,,
Mitchell Supreme Fuel Co,Fuel Oil Dealers,,,
Mohawk Valley Oil Inc,Fuel Oil Dealers,,,
Monsen Transfer,Fuel Oil Dealers,,,
Moore Oil Co Inc,Fuel Oil Dealers,,,
Moronis Oil Burner Services,Fuel Oil Dealers,,,
Mountain Oil Inc,Fuel Oil Dealers,,,
National AssociationFor Oil Heat Research,Fuel Oil Dealers,,,
Neste Us,Fuel Oil Dealers,,,
New England Oven Am Furnace Co Inc,Fuel Oil Dealers,,,
New Utrecht Fuel Oil,Fuel Oil Dealers,,,
New York Oil Heating Assn,Fuel Oil Dealers,,,
New York Oil Heating Association,Fuel Oil Dealers,,,
Nimocks Oil Co,Fuel Oil Dealers,,,
NL Fuel Oil,Fuel Oil Dealers,,,
No Frills Oil Co,Fuel Oil Dealers,,,
Noco Energy,Fuel Oil Dealers,,,
Noco Energy Corp,Fuel Oil Dealers,,,
Noco Express,Fuel Oil Dealers,,,
Noco Properties LLC,Fuel Oil Dealers,,,
Noco Real Estate,Fuel Oil Dealers,,,
North Carolina Propane & Gas Association,Fuel Oil Dealers,,,
North Carolina Propane Association,Fuel Oil Dealers,,,
North Carolina Propane Gas Association,Fuel Oil Dealers,,,
Nulite Fuel Oil,Fuel Oil Dealers,,,
Oil Heal Institute,Fuel Oil Dealers,,,
Oil Heat,Fuel Oil Dealers,,,
Oil Heat Institure of Li Inc PAC,Fuel Oil Dealers,,,
Oil Heat Institute Inc,Fuel Oil Dealers,,,
Oil Heat Institute of Long Island,Fuel Oil Dealers,,,
Oil Heat Institute of The Bronx,Fuel Oil Dealers,,,
Oil Heat Institute of Washington,Fuel Oil Dealers,,,
Oil Heat Institute PAC,Fuel Oil Dealers,,,
Oil Heat National Research,Fuel Oil Dealers,,,
Oil Heat PAC Inc,Fuel Oil Dealers,,,
Oilheat Institute of Long Island,Fuel Oil Dealers,,,
Old Town Fuel & Building Supply,Fuel Oil Dealers,,,
Omni Fuels Co,Fuel Oil Dealers,,,
Orange Alden Fuel Co,Fuel Oil Dealers,,,
Oregon Gasoline Dealers Assn,Fuel Oil Dealers,,,
Osco Inc,Fuel Oil Dealers,,,
Pacific Heating Oil Co,Fuel Oil Dealers,,,
Pacific Oil Products Co,Fuel Oil Dealers,,,
Pacific Pride Services Inc,Fuel Oil Dealers,,,
Papco,Fuel Oil Dealers,,,
Papco Oil Co,Fuel Oil Dealers,,,
Pare Oil Co Inc,Fuel Oil Dealers,,,
Passmore Gas & Oil Inc Union District Oil District,Fuel Oil Dealers,,,
Peninsula Fuel,Fuel Oil Dealers,,,
Penn Octane Corp,Fuel Oil Dealers,,,
Perry Bros Co,Fuel Oil Dealers,,,
Peter H Mortensen Vinci Co,Fuel Oil Dealers,,,
Petrocard Systems,Fuel Oil Dealers,,,
Plymouth Rock Fuel Corp,Fuel Oil Dealers,,,
Pmk Distributing,Fuel Oil Dealers,,,
Pride C Stores Inc,Fuel Oil Dealers,,,
Princeton Fuel Oil,Fuel Oil Dealers,,,
Puckett Oil Co Inc,Fuel Oil Dealers,,,
Pure Fuel Inc,Fuel Oil Dealers,,,
R C Moore Inc,Fuel Oil Dealers,,,
Reb Oil Inc,Fuel Oil Dealers,,,
Red Springs Fuel Oil Co,Fuel Oil Dealers,,,
Resource Fuels LLC,Fuel Oil Dealers,,,
Rh Davis Oil Co,Fuel Oil Dealers,,,
Rh Foster Energy,Fuel Oil Dealers,,,
Rh Foster Inc,Fuel Oil Dealers,,,
Rittenhouse Fuel Co,Fuel Oil Dealers,,,
Rivoli Fuel Oil,Fuel Oil Dealers,,,
Ronald H Lemay Service,Fuel Oil Dealers,,,
Rw Matthews & Sons,Fuel Oil Dealers,,,
Rymes Heating Oil,Fuel Oil Dealers,,,
S&J Fuel Oil,Fuel Oil Dealers,,,
Sa White Enterprises,Fuel Oil Dealers,,,
Sa White Insurance,Fuel Oil Dealers,,,
Sa White Oil,Fuel Oil Dealers,,,
Sack Distributors,Fuel Oil Dealers,,,
Sangaree Oil Company Inc,Fuel Oil Dealers,,,
Sanitary Fuels Co Inc,Fuel Oil Dealers,,,
Santie Wholesale Oil Co Inc,Fuel Oil Dealers,,,
Saupe Enterprises,Fuel Oil Dealers,,,
Schade & Shepard Enterprises,Fuel Oil Dealers,,,
Schade & Shepherd,Fuel Oil Dealers,,,
Sea Fuel Oil Co,Fuel Oil Dealers,,,
Sentry Services Oil/Heating,Fuel Oil Dealers,,,
Shultz Distributing Inc,Fuel Oil Dealers,,,
Sinclair Fuel,Fuel Oil Dealers,,,
Sj Fuel,Fuel Oil Dealers,,,
Sj Fuel Co,Fuel Oil Dealers,,,
Skagga-Walsh Inc,Fuel Oil Dealers,,,
Slocumbe Oil Co Inc,Fuel Oil Dealers,,,
Smith Fuels Inc,Fuel Oil Dealers,,,
Sorby Sales Ltd,Fuel Oil Dealers,,,
Southcenter Oil,Fuel Oil Dealers,,,
Southwest Georgia Oil Co,Fuel Oil Dealers,,,
Southwest Golf Reservations,Fuel Oil Dealers,,,
Southwest Landmark LLC,Fuel Oil Dealers,,,
Space Age Fuel Products,Fuel Oil Dealers,,,
Specialty Fuel Services,Fuel Oil Dealers,,,
Sprott Oil & Propane,Fuel Oil Dealers,,,
St Joseph Fuel Oil & M,Fuel Oil Dealers,,,
Star Products,Fuel Oil Dealers,,,
Stratolift Inc,Fuel Oil Dealers,,,
Sullivan & Son,Fuel Oil Dealers,,,
Sunset Fuel Co,Fuel Oil Dealers,,,
Swanson,Fuel Oil Dealers,,,
Swrawls Inc,Fuel Oil Dealers,,,
Talyor Oil Co Inc,Fuel Oil Dealers,,,
Tarr Inc,Fuel Oil Dealers,,,
Tate Enterprises Inc,Fuel Oil Dealers,,,
Tate Oil Co,Fuel Oil Dealers,,,
Texas Transeastern,Fuel Oil Dealers,,,
Time Oil Co,Fuel Oil Dealers,,,
Todds Fuel Oil Service Inc,Fuel Oil Dealers,,,
Tosco Pipeline Co,Fuel Oil Dealers,,,
Trenton Fuel Works,Fuel Oil Dealers,,,
Tri County Fuel Oil,Fuel Oil Dealers,,,
Tri County Fuel Oil Co,Fuel Oil Dealers,,,
Tri County Oil Distributors,Fuel Oil Dealers,,,
Tri-County Fuel Oil Co,Fuel Oil Dealers,,,
Troiano Fuel Oil Co,Fuel Oil Dealers,,,
Turner Fuel Oil,Fuel Oil Dealers,,,
Tuxis Ohrs Fuel Inc,Fuel Oil Dealers,,,
Tuxis-Ohrs Fuel,Fuel Oil Dealers,,,
Tyree Oil Co,Fuel Oil Dealers,,,
Tyree Oil Inc,Fuel Oil Dealers,,,
United Landmark LLCc,Fuel Oil Dealers,,,
VA Petroleum Jobbers Association,Fuel Oil Dealers,,,
Vento Oil Co Inc,Fuel Oil Dealers,,,
Vermont Fuel Dealers Association,Fuel Oil Dealers,,,
Vinci Co,Fuel Oil Dealers,,,
Wadleigh's,Fuel Oil Dealers,,,
Wallace Oil Co Inc,Fuel Oil Dealers,,,
Wardway Fuels,Fuel Oil Dealers,,,
Webber Oil Co/Webber Energy Co,Fuel Oil Dealers,,,
Wenatchee Petroleum,Fuel Oil Dealers,,,
West Oil,Fuel Oil Dealers,,,
White Oak Petroleum LLC,Fuel Oil Dealers,,,
William Rella & Sons Inc,Fuel Oil Dealers,,,
Williams Fuel Oil Co,Fuel Oil Dealers,,,
Winco Inc,Fuel Oil Dealers,,,
Winters Oil Co,Fuel Oil Dealers,,,
Wise Oil & Fuel Inc C / O William L Wise,Fuel Oil Dealers,,,
Woco Oil Co,Fuel Oil Dealers,,,
Wondrack Distributing Inc,Fuel Oil Dealers,,,
Worcester Bros Inc,Fuel Oil Dealers,,,
Workman Oil Co,Fuel Oil Dealers,,,
World Fuel Services of Fl,Fuel Oil Dealers,,,
Wright Insurance Inc,Fuel Oil Dealers,,,
Yeager Fuels,Fuel Oil Dealers,,,
Younger Oil,Fuel Oil Dealers,,,
Yukon Fuel,Fuel Oil Dealers,,,
Yukon Fuel Co,Fuel Oil Dealers,,,
Yupik Store,Fuel Oil Dealers,,,
Ace-Robbins Inc ^,Gas & Electric Utilities,N/A,,
Alliant Energy,Gas & Electric Utilities,77% (2018),,
American Energy Corp,Gas & Electric Utilities,100% (coal),,
Avista Corp,Gas & Electric Utilities,44.5% (2017),,67.00%
Berkshire Hathaway Energy,Gas & Electric Utilities,68% (2018),,
Black Hills Energy,Gas & Electric Utilities,93% (2018),,
CenterPoint Energy,Gas & Electric Utilities,--,,70.10%
City Public Service,Gas & Electric Utilities,See CPS Energy,,
CMS Energy,Gas & Electric Utilities,87% (2017),,
Columbia Gas,Gas & Electric Utilities,100% (nat gas),,
Consolidated Edison Company of New York (CECONY),Gas & Electric Utilities,100%,,
"Consolidated Edison Inc (ConEd, Con Ed)",Gas & Electric Utilities,37%,Yes,24%
Consumers Energy Co,Gas & Electric Utilities,60%,,
CPS Energy,Gas & Electric Utilities,64% (2018),,
Dominion Energy,Gas & Electric Utilities,52% (2018), Yes ,
Dominion Resources,Gas & Electric Utilities,See Dominion Energy,,
DTE Energy,Gas & Electric Utilities,74% (2018),,
Duke Energy,Gas & Electric Utilities,62% (2017),Yes (Atlantic Coast Pipeline),
East Ohio Gas,Gas & Electric Utilities,--,,100% (nat gas)
Elizabethtown Gas,Gas & Electric Utilities,--,,100% (nat gas)
Empire District Electric,Gas & Electric Utilities,81% (2015),,
Enstar Natural Gas,Gas & Electric Utilities,--,,100% (nat gas)
Entergy,Gas & Electric Utilities,50.46% (2018), No ,51.16%
Entergy Services,Gas & Electric Utilities,Non-generating subsidiary of FF parent company,,
Equitable Resources,Gas & Electric Utilities,100%,,
Falcon Seaboard Resources,Gas & Electric Utilities,,Yes,100%
FerrellGas,Gas & Electric Utilities,,,100%
GDF SUEZ ENERGY,Gas & Electric Utilities,See ENGIE,,
Ind Gas Co,Gas & Electric Utilities,See Indiana Gas Company,,
Indianapolis Power & Light Co,Gas & Electric Utilities, ~ 89 (2018),,
Intermountain Gas Co,Gas & Electric Utilities,,,100% (nat gas)
International Transmission Co,Gas & Electric Utilities,See ITC Holdings,,
ITC Holdings,Gas & Electric Utilities,Non-generating subsidiary of FF parent company,,
LG&E Energy,Gas & Electric Utilities,See Louisville Gas & Electric,,
Louisville Gas & Electric,Gas & Electric Utilities,98% (2018),,
Luminant,Gas & Electric Utilities,N/A,,
Madison Gas & Electric,Gas & Electric Utilities,95% (2018),,
MDU Resources Group,Gas & Electric Utilities,80% (2018),,
Michigan Consolidated Gas,Gas & Electric Utilities,"100%, nat gas",,
MidAmerican Energy,Gas & Electric Utilities,45% (2018),,59% (2018)
Montana Dakota Utilities,Gas & Electric Utilities,80% (2018),,
National Fuel Gas,Gas & Electric Utilities,"100%, nat gas",,
National Grid USA,Gas & Electric Utilities,--,"  Williams Pipeline, LNG terminal development  ",
New Mexico Gas Co,Gas & Electric Utilities,"100%, nat gas",,
New York State Electric & Gas (NYSEG),Gas & Electric Utilities,73% (2018) * delivered,,
Nisource Corporate Services,Gas & Electric Utilities,Non-generating subsidiary of FF parent company,,
NiSource Inc,Gas & Electric Utilities,99% (2017) *generation,,67% (2018) * at least
Northern Indiana Public Service Co,Gas & Electric Utilities,N/A,,
Northwest Natural Gas Co,Gas & Electric Utilities,--,,100% (nat gas)
NorthWestern Energy,Gas & Electric Utilities,45% (2018),,57%
NV Energy,Gas & Electric Utilities,--,,75% (2018)
OGE Energy,Gas & Electric Utilities,93% (2017),,
Oklahoma Gas & Electric,Gas & Electric Utilities,93% (2018),,
People's Natural Gas,Gas & Electric Utilities,--,,100% (nat gas)
PJM Interconnection,Gas & Electric Utilities,60%,,
Public Service Co of Colorado,Gas & Electric Utilities,73% (2018),,
Puget Sound Energy,Gas & Electric Utilities,75% (2018),,
Rochester Gas & Electric,Gas & Electric Utilities,83% (2017),,
San Diego Gas & Electric,Gas & Electric Utilities,--,,100% (nat gas)
Scana Corp,Gas & Electric Utilities,73% (2018),,
SCANA Services,Gas & Electric Utilities,Non-generating subsidiary of FF parent company,,
SCE&G,Gas & Electric Utilities,See South Carolina Electric & Gas,,
Sempra Energy,Gas & Electric Utilities,47% (2018),"Yes, LNG",73 (2018)
Sierra Pacific Power,Gas & Electric Utilities,87% (2018),,
South Carolina Electric & Gas,Gas & Electric Utilities,76% (2017),,
Southern California Edison,Gas & Electric Utilities,"21% generation, 54% energy delivered (2018)",,
Southern Indiana Gas & Electric,Gas & Electric Utilities,96 (2017),,
Spire Energy,Gas & Electric Utilities,,,100% (nat gas)
TECO Energy,Gas & Electric Utilities,100%,,
TransAlta,Gas & Electric Utilities,81%,,
UGI Utilities,Gas & Electric Utilities,,,91% *at least
Vectren Corp,Gas & Electric Utilities,100%,,100
Washington Gas Light Co,Gas & Electric Utilities,,,100% (nat gas)
WE Energies,Gas & Electric Utilities,N/A,,
WEC Energy Group,Gas & Electric Utilities,73% (2018),,
Wisconsin Energy Corp,Gas & Electric Utilities,See WEC Energy Group,,
Wisconsin Power & Light,Gas & Electric Utilities,89% (2018),,
Wisconsin Public Service Corp,Gas & Electric Utilities,93% * generation (2018),,
Xcel Energy,Gas & Electric Utilities,62% (2018),,
Centaurus Advisors,Hedge Fund,,,
Centaurus Energy,Hedge Fund,,,
ABA Energy,Independent oil & gas producers,,,
Abbott Petroleum Products,Independent oil & gas producers,,,
Acoma Oil,Independent oil & gas producers,,,
Adobe Oil & Gas,Independent oil & gas producers,,,
Aera Enegry,Independent oil & gas producers,,,
Afren Corp,Independent oil & gas producers,,,
Afren Resources Usa,Independent oil & gas producers,,,
Ag Andrikopoulos Resources,Independent oil & gas producers,,,
Ag Hill Co,Independent oil & gas producers,,,
Aiteo Global Group,Independent oil & gas producers,,,
Alaska Copper & Metal Works,Independent oil & gas producers,,,
Alcorn Exploration,Independent oil & gas producers,,,
Aldin Associates,Independent oil & gas producers,,,
American Independent Energy PAC,Independent oil & gas producers,,,
American Shoreline,Independent oil & gas producers,,,
Americo Energy Resources,Independent oil & gas producers,,,
Ameritex Minerals,Independent oil & gas producers,,,
Andrew Oil Co,Independent oil & gas producers,,,
Angerman Association,Independent oil & gas producers,,,
Antelope Energy Co,Independent oil & gas producers,,,
Antero Resources,Independent oil & gas producers,,,
Arapahoe Drilling,Independent oil & gas producers,,,
Areti International Group,Independent oil & gas producers,,,
Arkansas Production Services,Independent oil & gas producers,,,
Arkland Producing Co,Independent oil & gas producers,,,
Arrow Operating Co,Independent oil & gas producers,,,
Aspect Resources,Independent oil & gas producers,,,
Atlantic Development Group,Independent oil & gas producers,,,
Augustus Energy,Independent oil & gas producers,,,
Austin Production Co,Independent oil & gas producers,,,
Avalon Exploration,Independent oil & gas producers,,,
Aviva Inc,Independent oil & gas producers,,,
B C Operating,Independent oil & gas producers,,,
B&G Production,Independent oil & gas producers,,,
B&G Productions,Independent oil & gas producers,,,
Baldwin & Baldwin Oil Co,Independent oil & gas producers,,,
Baldwin Madden Energy,Independent oil & gas producers,,,
Barnes Oil,Independent oil & gas producers,,,
Barnhart Co,Independent oil & gas producers,,,
Barnwell Industries,Independent oil & gas producers,,,
Barrow Energy,Independent oil & gas producers,,,
Bartkus Oil Co,Independent oil & gas producers,,,
Basin Exploration,Independent oil & gas producers,,,
Bass Companies,Independent oil & gas producers,,,
Baytex Energy USA,Independent oil & gas producers,,,
Bear Cub Energy LLC,Independent oil & gas producers,,,
Bear Paw Energy,Independent oil & gas producers,,,
Beckham Operating,Independent oil & gas producers,,,
Beecherl Companies,Independent oil & gas producers,,,
Beecherl Investments,Independent oil & gas producers,,,
Behm Energy,Independent oil & gas producers,,,
Benjamin Minerals Inc,Independent oil & gas producers,,,
Besson Oil Inc,Independent oil & gas producers,,,
Bevo Production,Independent oil & gas producers,,,
Bill Barrett Corp,Independent oil & gas producers,,,
Bison Energy,Independent oil & gas producers,,,
Black Elk Energy,Independent oil & gas producers,,,
Blackhawk Quarry Co of Febari,Independent oil & gas producers,,,
Blanco Oil Co,Independent oil & gas producers,,,
Bnb Oil & Gas Production,Independent oil & gas producers,,,
Bob Ferguson Oil & Gas,Independent oil & gas producers,,,
Bogo Energy Corp,Independent oil & gas producers,,,
Bois D'arc Energy,Independent oil & gas producers,,,
Bonanza Oil,Independent oil & gas producers,,,
Boutell Enterprises,Independent oil & gas producers,,,
Bowen-Hall Petroleum,Independent oil & gas producers,,,
Brammer Supply,Independent oil & gas producers,,,
Brandon Petroleum Partners,Independent oil & gas producers,,,
Breitburn Energy,Independent oil & gas producers,,,
Breitburn Energy Company LLC,Independent oil & gas producers,,,
Breitburn Energy Partners,Independent oil & gas producers,,,
Breitling Energy,Independent oil & gas producers,,,
Bretagne Gp,Independent oil & gas producers,,,
Bretagne LLC,Independent oil & gas producers,,,
Bright & Co,Independent oil & gas producers,,,
Brito Oil Co,Independent oil & gas producers,,,
Broad Oak Energy,Independent oil & gas producers,,,
Broken Arrow Royalties,Independent oil & gas producers,,,
Bruce Calder Inc,Independent oil & gas producers,,,
Bta Oil Producers LLC,Independent oil & gas producers,,,
Bumper Development,Independent oil & gas producers,,,
Burk Royalty,Independent oil & gas producers,,,
Burlington Resources,Independent oil & gas producers,,,
Burnett Ranches/Burnett Oil Co,Independent oil & gas producers,,,
Burton Industries,Independent oil & gas producers,,,
Busada Industries,Independent oil & gas producers,,,
Bwab Exploration,Independent oil & gas producers,,,
Caelus Energy,Independent oil & gas producers,,,
Cago Inc,Independent oil & gas producers,,,
Calibre Energy,Independent oil & gas producers,,,
California Resources Corp,Independent oil & gas producers,,,
Calista Corp,Independent oil & gas producers,,,
Cambridge Production,Independent oil & gas producers,,,
Camelot Oil & Gas Development,Independent oil & gas producers,,,
Canada-Anadarko Corp,Independent oil & gas producers,,,
Cantrel Energy,Independent oil & gas producers,,,
Cantrell Energy,Independent oil & gas producers,,,
Cantrell Energy Corp,Independent oil & gas producers,,,
Caraway Operating,Independent oil & gas producers,,,
Carl Oil & Gas,Independent oil & gas producers,,,
Carlile Co,Independent oil & gas producers,,,
Carrizo Oil & Gas,Independent oil & gas producers,,,
Carson Energy,Independent oil & gas producers,,,
Caruthers Producing,Independent oil & gas producers,,,
Caruthers Producing Co,Independent oil & gas producers,,,
Castex Energy,Independent oil & gas producers,,,
Ce Dinsmore Oil Properties,Independent oil & gas producers,,,
Cedar Valley Energy,Independent oil & gas producers,,,
Centennial Energy Partners,Independent oil & gas producers,,,
Ch4 Energy,Independent oil & gas producers,,,
Ch4 Energy II,Independent oil & gas producers,,,
Champlin Exploration,Independent oil & gas producers,,,
Chandler Energy,Independent oil & gas producers,,,
Chaparral Energy,Independent oil & gas producers,,,
Chemlink Petroleum,Independent oil & gas producers,,,
Chernicky Investments,Independent oil & gas producers,,,
Cheyenne Exploration,Independent oil & gas producers,,,
Chief Petroleum Co,Independent oil & gas producers,,,
Chinook Energy,Independent oil & gas producers,,,
Cimarex Energy,Independent oil & gas producers,,,
Ciris Energy,Independent oil & gas producers,,,
Clear Fork Inc,Independent oil & gas producers,,,
Clearwater Port LLC,Independent oil & gas producers,,,
CLK Energy,Independent oil & gas producers,,,
Cng Producing Co,Independent oil & gas producers,,,
Cnx Resources,Independent oil & gas producers,,,
Cnx Resrouces,Independent oil & gas producers,,,
Coalbed Methane Association of Alabama,Independent oil & gas producers,,,
Coastal Land & Drilling,Independent oil & gas producers,,,
Coates Energy,Independent oil & gas producers,,,
Cobat International Energy,Independent oil & gas producers,,,
Cockspur Inc,Independent oil & gas producers,,,
Coco Snyder Oil Corp,Independent oil & gas producers,,,
Cody Co,Independent oil & gas producers,,,
Collins & Ware,Independent oil & gas producers,,,
Columbia Natural Resources,Independent oil & gas producers,,,
Columbia Natural Resources Inc,Independent oil & gas producers,,,
Columbus Energy,Independent oil & gas producers,,,
Conglomerate Gas,Independent oil & gas producers,,,
Conquest Energy,Independent oil & gas producers,,,
Continental Resources,Independent oil & gas producers,,,
Continental Resources of Illinois Inc,Independent oil & gas producers,,,
Contour Energy,Independent oil & gas producers,,,
Cooper & Brain,Independent oil & gas producers,,,
